timecode,character
2.2863070539,R2-D2
2.2904564315,R2-D2
2.6721991701,R2-D2
2.7053941909,R2-D2
2.7800829876,R2-D2
2.8091286307,R2-D2
2.8215767635,R2-D2
2.8838174274,R2-D2
2.9004149378,R2-D2
2.9294605809,R2-D2
2.9377593361,R2-D2
2.9460580913,R2-D2
2.9709543568,R2-D2
3.0020533881,R2-D2
3.0061601643,R2-D2
3.0123203285,R2-D2
3.0143737166,R2-D2
3.0205338809,R2-D2
3.0246406571,R2-D2
3.0369609856,R2-D2
3.0431211499,R2-D2
3.045174538,R2-D2
3.0472279261,R2-D2
3.0492813142,R2-D2
3.0533880903,R2-D2
3.0574948665,R2-D2
3.0595482546,R2-D2
3.0616016427,R2-D2
3.067761807,R2-D2
3.0841889117,R2-D2
3.0882956879,R2-D2
3.090349076,R2-D2
3.0924024641,R2-D2
3.0985626283,R2-D2
3.1108829569,R2-D2
3.1149897331,R2-D2
3.1190965092,R2-D2
3.1314168378,R2-D2
3.1437371663,R2-D2
3.158110883,R2-D2
3.1765913758,R2-D2
3.2156057495,R2-D2
3.2402464066,R2-D2
3.2464065708,R2-D2
3.250513347,R2-D2
3.2546201232,R2-D2
3.2669404517,R2-D2
3.2915811088,R2-D2
3.3018480493,R2-D2
3.3141683778,R2-D2
3.3388090349,R2-D2
3.3572895277,R2-D2
3.3963039014,R2-D2
3.4024640657,R2-D2
3.4209445585,R2-D2
3.4271047228,R2-D2
3.4291581109,R2-D2
3.4517453799,R2-D2
3.5728952772,R2-D2
3.819301848,R2-D2
3.8213552361,R2-D2
3.8501026694,R2-D2
3.8521560575,R2-D2
3.8829568789,R2-D2
3.9158110883,R2-D2
3.9219712526,R2-D2
3.9240246407,R2-D2
3.9260780287,R2-D2
3.9958932238,R2-D2
3.9979466119,R2-D2
4.0285714286,R2-D2
4.0321428571,R2-D2
4.05,R2-D2
4.0571428571,R2-D2
4.0857142857,R2-D2
4.3035714286,R2-D2
4.4214285714,R2-D2
4.4285714286,R2-D2
4.5,R2-D2
4.5035714286,R2-D2
4.5107142857,R2-D2
4.5142857143,R2-D2
4.5285714286,R2-D2
4.5321428571,R2-D2
4.55,R2-D2
4.5535714286,R2-D2
4.5892857143,R2-D2
4.6285714286,R2-D2
4.65,R2-D2
4.7107142857,R2-D2
4.7392857143,R2-D2
4.7714285714,R2-D2
4.775,R2-D2
4.7785714286,R2-D2
4.7964285714,R2-D2
4.8,R2-D2
4.8142857143,R2-D2
4.8178571429,R2-D2
4.825,R2-D2
4.9142857143,R2-D2
4.9571428571,R2-D2
4.9642857143,R2-D2
4.9821428571,R2-D2
4.9892857143,R2-D2
5.0294117647,R2-D2
5.0367647059,R2-D2
5.0441176471,R2-D2
5.0514705882,R2-D2
5.0588235294,R2-D2
5.0661764706,R2-D2
5.1544117647,R2-D2
5.1838235294,R2-D2
5.1911764706,R2-D2
5.1985294118,R2-D2
5.2647058824,R2-D2
5.2720588235,R2-D2
5.2867647059,R2-D2
5.3014705882,R2-D2
5.3088235294,R2-D2
5.3382352941,R2-D2
5.3529411765,R2-D2
5.3676470588,R2-D2
5.375,R2-D2
5.4411764706,R2-D2
5.4632352941,R2-D2
5.4926470588,R2-D2
5.5,R2-D2
5.5073529412,R2-D2
5.5220588235,R2-D2
5.5294117647,R2-D2
5.6176470588,R2-D2
5.6470588235,R2-D2
5.7058823529,R2-D2
5.7941176471,R2-D2
6.5149253731,R2-D2
6.6417910448,R2-D2
6.9589552239,R2-D2
6.9626865672,R2-D2
6.9888059701,R2-D2
0.2786885246,ANAKIN
0.2896174863,ANAKIN
0.3005464481,ANAKIN
0.3114754098,ANAKIN
0.3169398907,ANAKIN
0.3224043716,ANAKIN
0.3278688525,ANAKIN
0.3442622951,ANAKIN
0.349726776,ANAKIN
0.3606557377,ANAKIN
0.3715846995,ANAKIN
0.3770491803,ANAKIN
0.3879781421,ANAKIN
0.4043715847,ANAKIN
0.4153005464,ANAKIN
0.4316939891,ANAKIN
0.4480874317,ANAKIN
0.4754098361,ANAKIN
0.4808743169,ANAKIN
0.4918032787,ANAKIN
0.4972677596,ANAKIN
0.5081967213,ANAKIN
0.5191256831,ANAKIN
0.5355191257,ANAKIN
0.5464480874,ANAKIN
0.5519125683,ANAKIN
0.5573770492,ANAKIN
0.5628415301,ANAKIN
0.5737704918,ANAKIN
0.5792349727,ANAKIN
0.5846994536,ANAKIN
0.5901639344,ANAKIN
0.6120218579,ANAKIN
0.6174863388,ANAKIN
0.6393442623,ANAKIN
0.6557377049,ANAKIN
0.6666666667,ANAKIN
0.6721311475,ANAKIN
0.6885245902,ANAKIN
0.7049180328,ANAKIN
0.7103825137,ANAKIN
0.7213114754,ANAKIN
0.7267759563,ANAKIN
0.737704918,ANAKIN
0.7540983607,ANAKIN
0.7759562842,ANAKIN
0.7868852459,ANAKIN
0.7978142077,ANAKIN
0.8087431694,ANAKIN
0.8142076503,ANAKIN
0.8306010929,ANAKIN
0.8415300546,ANAKIN
0.8579234973,ANAKIN
0.8907103825,ANAKIN
0.8961748634,ANAKIN
0.9453551913,ANAKIN
0.9672131148,ANAKIN
0.9726775956,ANAKIN
0.9836065574,ANAKIN
0.9890710383,ANAKIN
0.9945355191,ANAKIN
1.0533333333,ANAKIN
1.06,ANAKIN
1.0866666667,ANAKIN
1.1,ANAKIN
1.1066666667,ANAKIN
1.12,ANAKIN
1.1333333333,ANAKIN
1.14,ANAKIN
1.1466666667,ANAKIN
1.1533333333,ANAKIN
1.16,ANAKIN
1.1666666667,ANAKIN
1.18,ANAKIN
1.2133333333,ANAKIN
1.2333333333,ANAKIN
1.24,ANAKIN
1.2466666667,ANAKIN
1.2666666667,ANAKIN
1.2733333333,ANAKIN
1.28,ANAKIN
1.2866666667,ANAKIN
1.2933333333,ANAKIN
1.3,ANAKIN
1.32,ANAKIN
